iter	MultiClass
0	1.589087397
1	1.57778937
2	1.563462332
3	1.549066781
4	1.533685053
5	1.516457556
6	1.503511279
7	1.485909071
8	1.472399483
9	1.459934837
10	1.450180472
11	1.439563301
12	1.424479436
13	1.411570272
14	1.403162264
15	1.391300469
16	1.379495811
17	1.367330563
18	1.352792724
19	1.342031863
20	1.32747886
21	1.316681649
22	1.303072896
23	1.29361742
24	1.281481886
25	1.270372294
26	1.260505439
27	1.249066225
28	1.237776326
29	1.225225309
30	1.212781833
31	1.204566578
32	1.192058019
33	1.182598645
34	1.173407158
35	1.165014306
36	1.15528522
37	1.144830203
38	1.133701278
39	1.124212176
40	1.116241187
41	1.108235029
42	1.100303602
43	1.090745131
44	1.082371901
45	1.074313376
46	1.066453443
47	1.057969161
48	1.047146815
49	1.038573529
50	1.034662358
51	1.026502698
52	1.018740159
53	1.009150063
54	1.00087626
55	0.9957879796
56	0.9877709553
57	0.9797008137
58	0.9701620306
59	0.9626069362
60	0.9562276934
61	0.9496060367
62	0.941510625
63	0.9335857114
64	0.9258030056
65	0.9174932164
66	0.90958468
67	0.9010776045
68	0.8956406798
69	0.8881123671
70	0.8823046174
71	0.8759567381
72	0.8717717701
73	0.8650123566
74	0.857821608
75	0.8507486023
76	0.8432807944
77	0.8382972831
78	0.833264813
79	0.8267713036
80	0.819720141
81	0.813832244
82	0.8084380916
83	0.8022786112
84	0.7981951471
85	0.7920763293
86	0.788404072
87	0.7820989133
88	0.7765939396
89	0.7701871065
90	0.764193282
91	0.7571158706
92	0.7532454351
93	0.7501400698
94	0.7470300021
95	0.7410448652
96	0.7372167343
97	0.7311985836
98	0.727185695
99	0.7219188208
100	0.7155914378
101	0.7092342204
102	0.705911759
103	0.702348364
104	0.6965220175
105	0.6925138113
106	0.6883024751
107	0.6838826041
108	0.6779542667
109	0.6750360546
110	0.6709235695
111	0.667693549
112	0.6626917974
113	0.6587040176
114	0.6544466226
115	0.6478915852
116	0.6432641235
117	0.6388910205
118	0.6356265193
119	0.6305939685
120	0.6274568877
121	0.6236768531
122	0.6196122076
123	0.6157622151
124	0.6092569618
125	0.6056625401
126	0.6006405857
127	0.596847543
128	0.592761572
129	0.589110964
130	0.5849001366
131	0.5816003352
132	0.5768115842
133	0.5742557173
134	0.5703259839
135	0.566414484
136	0.5635854811
137	0.5595258263
138	0.5552280847
139	0.5515315312
140	0.548290704
141	0.5454851963
142	0.5423551185
143	0.5381427873
144	0.5347288317
145	0.5307567018
146	0.5273495241
147	0.5236722928
148	0.5196348829
149	0.5168208029
150	0.51396709
151	0.5100871372
152	0.5076596367
153	0.5033075298
154	0.499885453
155	0.4978648745
156	0.4939089494
157	0.4917811244
158	0.4890878854
159	0.486458612
160	0.4844578442
161	0.4815109053
162	0.4787514689
163	0.4757882621
164	0.4726505975
165	0.4684551698
166	0.4653965944
167	0.464357538
168	0.4620717897
169	0.45844376
170	0.4559789246
171	0.4531198196
172	0.4511684762
173	0.4495799859
174	0.4465863303
175	0.4435882068
176	0.4415635641
177	0.4398259928
178	0.437825039
179	0.4348024614
180	0.4318685073
181	0.4289338183
182	0.4266663037
183	0.4249169938
184	0.422488388
185	0.4212521942
186	0.4194806134
187	0.4173425229
188	0.4147292418
189	0.4127388555
190	0.4096268145
191	0.4082655324
192	0.4061428483
193	0.4036833146
194	0.4022288502
195	0.3999675771
196	0.3978045259
197	0.3958896635
198	0.3938253306
199	0.3917669871
200	0.3892188851
201	0.3880781401
202	0.3857021898
203	0.3839522106
204	0.3816003219
205	0.3799165905
206	0.3791039898
207	0.3769959195
208	0.3744950434
209	0.3721710537
210	0.3695257134
211	0.3684856385
212	0.3667240792
213	0.3651807901
214	0.3631556933
215	0.3616433308
216	0.3606128999
217	0.3584530233
218	0.3575777025
219	0.3555169388
220	0.3543889135
221	0.3531257653
222	0.3512782357
223	0.3490185648
224	0.3470448293
225	0.3455322598
226	0.344012118
227	0.3427798405
228	0.3412048768
229	0.338797675
230	0.3376129366
231	0.3358031923
232	0.3344926803
233	0.3331549038
234	0.3307756012
235	0.3281004883
236	0.3260632436
237	0.3240041625
238	0.322716321
239	0.3211887126
240	0.3194664421
241	0.3180078099
242	0.3163692709
243	0.3150949373
244	0.3140109367
245	0.3123731279
246	0.3108665052
247	0.3091242162
248	0.3080087887
249	0.3060509344
250	0.3044243669
251	0.3028127611
252	0.3013842024
253	0.3001818489
254	0.2983542621
255	0.2970414053
256	0.2955071957
257	0.2938766571
258	0.2925844499
259	0.2905647547
260	0.2891192255
261	0.2875648915
262	0.2859971719
263	0.2842416936
264	0.2826899364
265	0.2813476735
266	0.2798772513
267	0.2788858679
268	0.2777505288
