iter	Passed	Remaining
0	9	9031
1	16	8213
2	23	7853
3	29	7458
4	70	14010
5	81	13554
6	88	12613
7	95	11780
8	101	11193
9	110	10904
10	116	10506
11	124	10249
12	131	9952
13	137	9714
14	154	10122
15	160	9881
16	167	9659
17	173	9483
18	179	9256
19	186	9125
20	191	8922
21	195	8696
22	201	8568
23	206	8416
24	211	8240
25	215	8054
26	219	7914
27	223	7770
28	229	7698
29	234	7589
30	239	7471
31	243	7358
32	252	7391
33	257	7329
34	262	7230
35	268	7198
36	274	7145
37	279	7080
38	284	7016
39	289	6944
40	293	6872
41	298	6807
42	302	6741
43	307	6674
44	311	6613
45	315	6550
46	320	6498
47	326	6470
48	331	6438
49	335	6376
50	340	6342
51	347	6326
52	353	6323
53	360	6308
54	366	6293
55	372	6285
56	380	6294
57	387	6301
58	394	6289
59	401	6283
60	406	6254
61	415	6282
62	423	6298
63	432	6329
64	438	6309
65	447	6328
66	453	6316
67	459	6302
68	467	6311
69	483	6420
70	490	6411
71	497	6406
72	507	6442
73	513	6428
74	519	6403
75	525	6387
76	530	6363
77	537	6348
78	542	6328
79	548	6308
80	554	6289
81	560	6277
82	566	6257
83	571	6229
84	575	6199
85	580	6168
86	584	6135
87	591	6130
88	597	6120
89	604	6115
90	611	6112
91	618	6102
92	624	6091
93	631	6083
94	637	6074
95	644	6066
96	650	6055
97	656	6044
98	663	6034
99	668	6018
100	675	6008
101	681	5999
102	687	5987
103	693	5977
104	700	5970
105	705	5951
106	711	5940
107	717	5929
108	724	5919
109	730	5911
110	735	5891
111	740	5869
112	745	5852
113	750	5829
114	754	5807
115	759	5784
116	763	5758
117	767	5736
118	771	5714
119	776	5695
120	781	5673
121	785	5655
122	790	5634
123	794	5613
124	799	5593
125	803	5575
126	808	5556
127	812	5537
128	818	5524
129	828	5543
130	834	5538
131	841	5534
132	848	5531
133	854	5525
134	861	5520
135	867	5513
136	874	5506
137	880	5500
138	887	5495
139	896	5504
140	903	5501
141	912	5514
142	919	5510
143	925	5503
144	932	5498
145	939	5494
146	945	5487
147	951	5479
148	957	5471
149	963	5457
150	969	5451
151	978	5457
152	984	5450
153	991	5444
154	996	5432
155	1002	5423
156	1008	5416
157	1015	5411
158	1022	5406
159	1028	5399
160	1034	5391
161	1040	5383
162	1046	5375
163	1052	5366
164	1058	5357
165	1063	5342
166	1069	5334
167	1077	5334
168	1097	5397
169	1104	5391
170	1110	5383
171	1116	5375
172	1132	5414
173	1139	5410
174	1160	5469
175	1166	5462
176	1172	5453
177	1179	5445
178	1185	5437
179	1210	5514
180	1216	5505
181	1223	5497
182	1229	5490
183	1241	5504
184	1247	5496
185	1254	5488
186	1260	5480
187	1266	5472
188	1283	5508
189	1290	5499
190	1296	5491
191	1305	5494
192	1311	5485
193	1318	5477
194	1324	5467
195	1330	5458
196	1366	5571
197	1373	5563
198	1379	5554
199	1387	5548
200	1393	5538
201	1400	5534
202	1407	5525
203	1413	5516
204	1420	5507
205	1426	5498
206	1434	5495
207	1441	5487
208	1447	5477
209	1453	5468
210	1459	5459
211	1466	5452
212	1473	5443
213	1479	5433
