iter	MultiClass
0	1.593046802
1	1.579940113
2	1.566487726
3	1.556119001
4	1.549723445
5	1.541655696
6	1.52785546
7	1.519623514
8	1.510875291
9	1.501714225
10	1.491157176
11	1.480480217
12	1.473976904
13	1.463547121
14	1.454160272
15	1.445053846
16	1.437628172
17	1.428915946
18	1.419910016
19	1.409514708
20	1.399666167
21	1.391369327
22	1.38316502
23	1.376246812
24	1.368109077
25	1.363402216
26	1.355840576
27	1.348072289
28	1.342344846
29	1.336006042
30	1.327979715
31	1.322260385
32	1.315764527
33	1.307590127
34	1.301404916
35	1.295820384
36	1.290527292
37	1.281270034
38	1.275540487
39	1.269888701
40	1.261381799
41	1.255500045
42	1.250704936
43	1.244757053
44	1.237600172
45	1.228756531
46	1.222332418
47	1.218755405
48	1.213679472
49	1.208884852
50	1.203512337
51	1.197534931
52	1.192472613
53	1.185857519
54	1.179350116
55	1.174185894
56	1.167986673
57	1.162214431
58	1.156991354
59	1.15253678
60	1.148138129
61	1.144902537
62	1.13805664
63	1.136019705
64	1.131042009
65	1.124394726
66	1.120515595
67	1.116532144
68	1.11071617
69	1.106911473
70	1.099758289
71	1.091834828
72	1.086129918
73	1.079678848
74	1.07590536
75	1.07150652
76	1.067425956
77	1.063684972
78	1.056891573
79	1.049623037
80	1.043998483
81	1.038410001
82	1.035046095
83	1.028275674
84	1.025526518
85	1.021350072
86	1.01746663
87	1.012524651
88	1.004238023
89	0.9982674767
90	0.994598202
91	0.9893509536
92	0.9848070555
93	0.9795241811
94	0.9756201169
95	0.9703362532
96	0.9662790003
97	0.964319464
98	0.9595735776
99	0.9559114426
100	0.9514730981
101	0.9461304195
102	0.9420994945
103	0.9384254467
104	0.9325817886
105	0.9263309291
106	0.9217262384
107	0.9150966617
108	0.9112717309
109	0.9075097796
110	0.9017372402
111	0.8954089963
112	0.8921639009
113	0.8888158747
114	0.8849318858
115	0.8806326102
116	0.8784577214
117	0.8745552126
118	0.8691697298
119	0.8660096124
120	0.8616004698
121	0.8549321604
122	0.8503334842
123	0.8456888976
124	0.8421249661
125	0.8390270826
126	0.8356509877
127	0.8318388317
128	0.8273985134
129	0.8232970812
130	0.8197103312
131	0.8165117544
132	0.8137245392
133	0.811131895
134	0.8076459041
135	0.8042227271
136	0.8016213119
137	0.7971270476
138	0.7942149708
139	0.7908506562
140	0.786903234
141	0.7831898741
142	0.7781220361
143	0.7752217341
144	0.7724697336
145	0.7695089563
146	0.7668855125
147	0.7623232623
148	0.7592694693
149	0.7557263702
150	0.7527930783
151	0.7489162899
152	0.7451194954
153	0.7423615711
154	0.7400712086
155	0.737733035
156	0.734375941
157	0.7287412999
158	0.725823587
159	0.7220599991
160	0.7193794157
161	0.7166749218
162	0.7128106633
163	0.7095566355
164	0.7070523177
165	0.7042288943
166	0.7004916021
167	0.6983550412
168	0.6952393464
169	0.6918588495
170	0.6887164344
171	0.6848402074
172	0.6825046232
173	0.6795295743
174	0.6774837124
175	0.6736264958
176	0.6707851494
177	0.6680303969
178	0.6649445925
179	0.6624554426
180	0.6596091397
181	0.6573590897
182	0.6544593827
183	0.6504132151
184	0.6479456395
185	0.6443611773
186	0.6402670816
187	0.6372771831
188	0.6344059777
189	0.6328391727
190	0.6291215102
191	0.6258339405
192	0.6230432299
193	0.6203686807
194	0.6182320613
195	0.6153563549
196	0.6140636413
197	0.6111672149
198	0.6092081252
199	0.6058104619
200	0.6034864898
201	0.6014579808
202	0.5995742961
203	0.5970290913
204	0.5952712188
205	0.5926691128
206	0.5901737614
207	0.5873739628
208	0.5851525653
209	0.5819662725
210	0.5801828708
211	0.5784741651
212	0.5760629433
213	0.5736891644
214	0.5708264449
215	0.5688839637
216	0.5672055318
217	0.5653603304
218	0.5635573104
219	0.5613378348
220	0.559233313
221	0.5567468744
222	0.5548382388
223	0.5528476877
224	0.5514000401
225	0.5489842992
226	0.5466947092
227	0.545157371
228	0.5438303141
229	0.5422776605
230	0.5394596914
231	0.5372704663
232	0.5348475733
233	0.5336844661
234	0.5315386949
235	0.5294335157
236	0.5273086551
