iter	Passed	Remaining
0	1	1965
1	4	2307
2	6	2084
3	8	2070
4	10	2037
5	11	1957
6	14	2028
7	16	2036
8	18	2035
9	20	2001
10	21	1966
11	23	1953
12	25	1936
13	27	1924
14	29	1929
15	31	1945
16	33	1928
17	35	1961
18	37	1952
19	39	1951
20	41	1939
21	43	1930
22	45	1917
23	46	1901
24	48	1887
25	49	1869
26	51	1854
27	53	1850
28	55	1843
29	56	1832
30	58	1825
31	59	1810
32	61	1796
33	62	1781
34	64	1765
35	65	1750
36	66	1739
37	68	1727
38	69	1715
39	71	1706
40	72	1697
41	74	1689
42	75	1682
43	77	1675
44	78	1673
45	80	1670
46	82	1665
47	83	1662
48	85	1657
49	86	1650
50	88	1644
51	90	1646
52	91	1642
53	93	1638
54	95	1640
55	97	1644
56	99	1641
57	101	1644
58	102	1641
59	104	1637
60	106	1636
61	107	1629
62	109	1626
63	110	1621
64	112	1615
65	113	1609
66	115	1603
67	116	1598
68	118	1593
69	119	1587
70	121	1584
71	122	1580
72	124	1574
73	125	1571
74	127	1567
75	128	1562
76	129	1557
77	131	1551
78	132	1546
79	134	1542
80	135	1540
81	137	1537
82	139	1537
83	140	1535
84	142	1532
85	144	1530
86	145	1529
87	147	1526
88	148	1525
89	150	1522
90	152	1519
91	153	1515
92	154	1511
93	156	1506
94	157	1502
95	159	1498
96	160	1495
97	162	1493
98	163	1489
99	165	1488
100	166	1485
101	168	1482
102	169	1479
103	171	1475
104	172	1472
105	174	1469
106	175	1466
107	177	1462
108	178	1459
109	180	1458
110	181	1454
111	183	1451
112	184	1448
113	186	1445
114	187	1445
115	189	1442
116	190	1439
117	192	1438
118	195	1443
119	196	1442
120	198	1440
121	200	1439
122	201	1438
123	203	1436
124	205	1436
125	207	1436
126	208	1436
127	210	1434
128	212	1434
129	214	1433
130	215	1430
131	217	1428
132	218	1426
133	220	1425
134	222	1423
135	223	1421
136	225	1419
137	226	1416
138	228	1415
139	229	1412
140	231	1409
141	233	1408
142	234	1405
143	236	1403
144	237	1400
145	239	1398
146	240	1396
147	242	1393
148	243	1391
149	245	1389
150	246	1386
151	248	1387
152	250	1386
153	252	1387
154	254	1387
155	256	1386
156	257	1384
157	259	1382
158	260	1379
159	262	1377
160	263	1374
161	265	1372
162	266	1370
163	268	1367
164	269	1365
165	271	1363
166	272	1361
167	274	1358
168	275	1355
169	277	1353
170	278	1351
171	280	1349
172	281	1347
173	283	1344
174	284	1342
175	286	1339
176	287	1337
177	288	1334
178	290	1332
179	292	1330
180	293	1328
181	295	1326
182	296	1324
183	298	1323
184	299	1321
185	301	1320
186	303	1320
187	305	1318
188	306	1316
189	308	1315
190	310	1314
191	311	1312
192	313	1310
193	314	1308
194	316	1306
195	318	1304
196	319	1302
197	320	1300
198	322	1298
199	324	1296
200	326	1296
201	328	1295
202	329	1293
203	331	1291
204	332	1289
205	333	1287
206	335	1284
207	336	1282
208	338	1280
209	339	1278
210	341	1276
211	342	1274
212	344	1272
213	345	1269
214	347	1268
215	348	1266
216	350	1264
217	352	1263
218	354	1263
219	356	1263
220	358	1262
221	359	1260
222	361	1259
223	363	1257
224	364	1255
225	365	1253
226	367	1251
227	368	1249
228	370	1247
229	371	1244
230	373	1242
231	374	1240
232	376	1238
233	377	1236
234	379	1234
235	380	1231
236	382	1231
237	384	1229
238	385	1227
239	387	1226
240	388	1224
241	390	1222
242	391	1219
243	392	1217
244	394	1215
245	396	1214
246	397	1212
247	399	1210
248	400	1208
249	402	1207
250	403	1205
251	405	1203
252	407	1203
253	409	1203
254	411	1203
255	413	1202
256	415	1200
257	416	1199
258	418	1197
259	420	1195
260	421	1194
261	423	1192
262	424	1190
263	426	1188
264	427	1186
265	429	1184
266	430	1182
267	432	1180
268	433	1178
269	435	1176
270	436	1175
271	438	1173
272	440	1172
273	441	1170
274	443	1168
275	444	1166
276	446	1164
277	447	1162
278	449	1161
279	451	1160
280	452	1158
281	454	1156
282	455	1155
283	457	1153
284	459	1152
285	461	1151
286	462	1150
287	464	1148
288	466	1147
289	468	1146
290	470	1145
291	472	1145
292	474	1144
293	475	1142
294	477	1140
295	478	1139
296	480	1136
297	481	1134
298	483	1133
299	484	1131
300	486	1129
301	487	1127
302	489	1125
303	490	1123
304	492	1121
305	493	1119
306	495	1117
307	496	1115
308	498	1114
309	500	1112
310	501	1110
311	502	1108
312	504	1106
313	505	1105
314	507	1103
315	508	1101
316	510	1099
317	511	1097
318	513	1096
319	515	1096
320	518	1095
321	519	1094
322	521	1092
323	522	1091
324	524	1090
325	526	1088
326	528	1088
327	530	1086
328	531	1084
329	533	1082
330	534	1080
331	535	1078
332	537	1076
333	539	1075
334	540	1073
335	542	1071
336	543	1069
337	545	1067
338	546	1066
339	548	1064
340	549	1062
341	551	1060
342	552	1058
343	554	1056
344	555	1055
345	557	1053
346	558	1051
347	560	1049
348	561	1048
349	563	1046
350	565	1045
351	566	1043
352	568	1042
353	570	1041
354	572	1039
355	573	1038
356	575	1036
357	577	1036
358	579	1034
359	580	1032
360	582	1030
361	583	1028
362	585	1027
363	587	1025
364	588	1024
365	590	1022
366	591	1020
367	593	1019
368	595	1017
369	596	1015
370	598	1013
371	599	1012
372	601	1011
373	603	1009
374	604	1007
375	606	1006
376	607	1004
377	609	1002
378	610	1000
379	612	999
380	613	997
381	615	995
382	616	993
383	618	992
384	620	990
385	621	989
386	623	987
387	625	986
388	627	985
389	629	985
390	631	983
391	633	982
392	635	981
393	637	979
394	638	978
395	640	976
396	641	974
397	643	973
398	644	971
399	646	970
400	648	968
401	650	967
402	651	965
403	653	963
404	655	962
405	656	961
406	658	959
407	660	957
408	661	956
409	663	954
410	664	952
411	666	951
412	668	949
413	669	947
414	671	945
415	672	944
416	674	942
417	675	940
418	677	938
419	678	937
420	680	935
421	681	933
422	683	932
423	685	931
424	687	929
425	688	928
426	690	927
427	692	925
428	694	924
429	695	922
430	697	920
431	698	918
432	700	916
433	701	915
434	703	913
435	704	911
436	706	909
437	707	908
438	709	906
439	710	904
440	712	902
441	713	901
442	715	899
443	716	897
444	718	895
445	719	894
446	721	892
447	722	890
448	724	888
449	725	887
450	727	885
451	728	883
452	730	881
453	731	880
454	733	878
455	735	877
456	737	876
457	739	874
458	740	872
459	742	872
460	744	870
461	746	869
462	747	867
463	749	865
464	751	864
465	752	862
466	753	860
467	755	858
468	756	856
469	758	855
470	759	853
471	761	851
472	762	850
473	764	848
474	766	846
475	767	845
476	769	843
477	770	841
478	772	839
479	773	838
480	775	836
481	777	835
482	778	833
483	779	831
484	781	829
485	782	827
486	784	826
487	785	824
488	787	823
489	789	821
490	791	820
491	793	819
492	795	817
493	797	816
494	799	815
495	800	813
496	802	812
497	804	810
498	805	809
499	807	807
500	808	805
501	810	803
502	812	802
503	813	800
504	814	798
505	816	796
506	817	795
507	819	793
508	820	791
509	822	790
510	823	788
511	825	786
512	826	784
513	828	783
514	829	781
515	831	779
516	832	777
517	834	776
518	835	774
519	837	772
520	838	771
521	840	769
522	841	767
523	843	766
524	845	764
525	846	763
526	848	761
527	850	760
528	852	759
529	854	757
530	856	756
531	857	754
532	859	752
533	860	750
534	862	749
535	863	747
536	865	745
537	866	744
538	868	743
539	870	741
540	871	739
541	873	737
542	874	736
543	876	734
544	877	732
545	879	731
546	881	729
547	882	728
548	884	726
549	886	725
550	887	723
551	889	722
552	891	720
553	892	718
554	894	716
555	895	715
556	897	713
557	898	711
558	900	710
559	902	708
560	904	707
561	905	705
562	907	704
563	908	702
564	910	700
565	911	699
566	913	697
567	914	695
568	916	694
569	917	692
570	919	690
571	921	689
572	923	687
573	924	686
574	926	684
575	928	683
576	930	681
577	931	680
578	933	678
579	934	676
580	936	675
581	938	673
582	939	672
583	941	670
584	942	668
585	944	667
586	945	665
587	947	663
588	948	661
589	950	660
590	951	658
591	953	656
592	954	655
593	956	653
594	957	652
595	959	650
596	961	648
597	962	646
598	963	645
599	965	643
600	966	641
601	968	640
602	970	638
603	971	637
604	973	635
605	975	634
606	976	632
607	978	630
608	980	629
609	981	627
610	983	626
611	985	624
612	987	623
613	988	621
614	990	620
615	992	618
616	994	617
617	995	615
618	997	613
619	998	612
620	1000	610
621	1001	608
622	1003	607
623	1004	605
624	1006	603
625	1007	602
626	1009	600
627	1010	598
628	1012	597
629	1013	595
630	1015	593
631	1016	592
632	1018	590
633	1019	588
634	1021	587
635	1022	585
636	1024	583
637	1025	582
638	1027	580
639	1028	578
640	1030	577
641	1032	575
642	1033	573
643	1035	572
644	1036	570
645	1038	569
646	1040	567
647	1042	566
648	1043	564
649	1045	563
650	1047	561
651	1048	559
652	1050	558
653	1051	556
654	1053	554
655	1055	553
656	1056	551
657	1058	550
658	1060	548
659	1061	547
660	1063	545
661	1064	543
662	1066	541
663	1067	540
664	1069	538
665	1070	537
666	1072	535
667	1073	533
668	1075	532
669	1076	530
670	1078	528
671	1079	527
672	1081	525
673	1082	523
674	1084	522
675	1086	520
676	1087	519
677	1089	517
678	1090	515
679	1092	513
680	1093	512
681	1095	510
682	1097	509
683	1098	507
684	1100	506
685	1102	504
686	1104	503
687	1106	501
688	1107	500
689	1109	498
690	1111	496
691	1112	495
692	1114	493
693	1115	492
694	1117	490
695	1119	488
696	1121	487
697	1122	485
698	1124	484
699	1126	482
700	1127	481
701	1129	479
702	1131	477
703	1132	476
704	1134	474
705	1136	473
706	1137	471
707	1139	469
708	1140	468
709	1142	466
