"MealID","GlycemicIndex","Calories","Carbohydrates","Protein","Fats","Fiber","Sodium","Sugar"
"1","50","350","44","19","8","6","420","5"
"2","55","300","38","12","10","4","380","3"
"3","45","320","35","15","9","7","350","4"
"4","40","200","25","8","5","5","200","15"
"5","52","380","42","20","12","3","450","2"
"6","48","280","35","10","8","5","300","8"
"7","42","320","40","14","9","6","400","3"
"8","53","350","45","16","10","4","420","2"
"9","47","280","32","12","8","5","380","3"
"10","35","250","28","10","7","3","200","18"
"11","60","600","75","25","15","8","800","5"
"12","65","650","80","30","18","7","900","6"
"13","55","340","42","22","10","9","500","4"
"14","58","350","45","18","12","6","600","3"
"15","52","370","48","20","11","8","550","5"
"16","45","250","30","12","6","5","400","2"
"17","50","450","55","24","14","7","700","4"
"18","48","310","38","16","9","6","450","3"
"19","42","330","40","18","10","7","500","4"
"20","47","340","42","20","11","8","520","5"
