iter	Accuracy	MultiClass
0	0.4125	1.592360876
1	0.5	1.577392491
2	0.5175	1.56743359
3	0.5625	1.553398285
4	0.605	1.537590852
5	0.6175	1.523280967
6	0.6225	1.509482733
7	0.6475	1.497503105
8	0.66	1.484993309
9	0.69	1.473272367
10	0.71	1.458572503
11	0.73	1.445272612
12	0.725	1.435296191
13	0.72	1.423940337
14	0.7425	1.413686392
15	0.745	1.402744233
16	0.755	1.392992223
17	0.7675	1.379012951
18	0.7625	1.367931349
19	0.7775	1.357287366
20	0.785	1.345120691
21	0.7925	1.337029412
22	0.805	1.325541761
23	0.8225	1.31276053
24	0.8325	1.301912159
25	0.8375	1.286161582
26	0.84	1.274700163
27	0.845	1.264598194
28	0.8425	1.253900364
29	0.8525	1.24314594
30	0.8525	1.23355672
31	0.855	1.222711723
32	0.8575	1.212220992
33	0.8625	1.202904731
34	0.865	1.193001259
35	0.87	1.186326193
36	0.8625	1.177828235
37	0.88	1.170193643
38	0.8875	1.161080619
39	0.885	1.151595083
40	0.8925	1.141121062
41	0.89	1.135251597
42	0.8925	1.125741965
43	0.9025	1.11547993
44	0.9025	1.107844761
45	0.91	1.098646473
46	0.9075	1.087873871
47	0.91	1.079533351
48	0.9175	1.06967693
49	0.9225	1.060510703
50	0.9225	1.05082314
51	0.9275	1.041362489
52	0.9375	1.032312143
53	0.9325	1.024349113
54	0.9325	1.019815464
55	0.9425	1.010759627
56	0.9475	1.002046795
57	0.9425	0.9973373617
58	0.9475	0.9907771344
59	0.95	0.9848785737
60	0.95	0.9779242857
61	0.9475	0.9693018736
62	0.9475	0.964051596
63	0.955	0.9550764791
64	0.955	0.9493669303
65	0.9625	0.9432349335
66	0.965	0.9376815122
67	0.96	0.930526572
68	0.96	0.9236684723
69	0.965	0.915983228
70	0.9625	0.9093876013
71	0.9625	0.9027509859
72	0.9675	0.8945728028
73	0.965	0.8885376022
74	0.965	0.8831857861
75	0.965	0.8782304507
76	0.9675	0.8719328732
77	0.9675	0.8658829147
78	0.97	0.861064064
79	0.97	0.8562050492
80	0.97	0.8506699464
81	0.9725	0.8438290062
82	0.9725	0.8382607469
83	0.975	0.8330747507
84	0.975	0.8267066819
85	0.975	0.8204568347
86	0.9775	0.8136241619
87	0.98	0.8065629203
88	0.98	0.8000941801
89	0.9825	0.7956174644
90	0.98	0.792286891
91	0.9775	0.7868717985
92	0.9775	0.7815855556
93	0.9825	0.7771996089
94	0.9825	0.7729709282
95	0.9875	0.7673120004
96	0.9875	0.7615668043
97	0.9875	0.7565875475
98	0.9875	0.7525432033
99	0.99	0.7477145535
100	0.99	0.7409107141
101	0.99	0.7364712972
102	0.99	0.7311096199
103	0.99	0.7262247465
104	0.99	0.720601657
105	0.99	0.7155667598
106	0.99	0.7120127997
107	0.99	0.7061957782
108	0.9875	0.700618898
109	0.99	0.6958309873
110	0.99	0.6902552284
111	0.9875	0.684514612
112	0.9925	0.6801996422
113	0.99	0.6751508599
114	0.99	0.669902306
115	0.99	0.666734632
116	0.9925	0.6618602883
117	0.9925	0.6590797553
118	0.995	0.6538332862
119	0.995	0.6493849136
120	0.995	0.6459339264
121	0.995	0.642067549
122	0.995	0.6395097731
123	0.995	0.635812357
124	0.995	0.631596337
125	0.995	0.6287970814
126	0.995	0.6241211516
127	0.995	0.6190406114
128	0.995	0.6152139679
129	0.9975	0.6097065508
130	0.9975	0.6069338941
131	0.995	0.6040897985
132	0.9975	0.5983227222
133	1	0.5948590529
134	0.9975	0.5910537851
135	1	0.5882214875
136	1	0.5863487778
137	1	0.5841498978
138	1	0.582918434
139	0.9975	0.5795694744
140	0.9975	0.5757679674
141	0.9975	0.5720678686
142	1	0.5693666587
143	1	0.5680934675
144	1	0.5649572989
145	1	0.5618587807
146	1	0.5577170813
147	1	0.554398627
148	1	0.551623104
149	1	0.5482390642
150	1	0.5440650336
151	1	0.5401503973
152	1	0.536158843
153	1	0.5316430378
154	1	0.5289175748
155	1	0.5262931262
156	1	0.5225791819
157	1	0.5203613977
158	1	0.5173662688
159	1	0.5144382693
160	1	0.5113088243
161	1	0.5086735929
162	1	0.5060306592
163	1	0.5022701812
164	1	0.4991456317
165	1	0.4970083638
166	1	0.4953609138
167	1	0.4920369362
168	1	0.4893425497
169	1	0.4869326281
