iter	Passed	Remaining
0	3	3755
1	6	3395
2	10	3347
3	13	3257
4	16	3283
5	19	3244
6	22	3209
7	25	3188
8	28	3168
9	32	3182
10	35	3168
11	38	3143
12	41	3137
13	44	3121
14	47	3116
15	50	3105
16	53	3087
17	56	3086
18	59	3074
19	62	3065
20	65	3052
21	68	3038
22	71	3029
23	74	3023
24	77	3015
25	80	3010
26	83	3004
27	86	2997
28	89	2991
29	92	2980
30	95	2976
31	98	2970
32	101	2963
33	104	2954
34	107	2954
35	110	2950
36	113	2942
37	115	2936
38	118	2931
39	122	2929
40	125	2933
41	128	2937
42	131	2936
43	135	2936
44	138	2945
45	142	2964
46	146	2967
47	150	2977
48	153	2974
49	157	2989
50	160	2989
51	165	3008
52	168	3004
53	172	3024
54	175	3021
55	179	3019
56	182	3025
57	186	3025
58	189	3029
59	193	3028
60	197	3032
61	200	3031
62	205	3063
63	210	3080
64	213	3075
65	217	3075
66	221	3081
67	224	3075
68	228	3080
69	231	3078
70	235	3084
71	239	3084
72	243	3086
73	246	3086
74	250	3094
75	254	3093
76	258	3099
77	262	3098
78	266	3105
79	269	3101
80	273	3104
81	276	3098
82	279	3091
83	283	3088
84	286	3080
85	289	3077
86	292	3069
87	295	3061
88	298	3055
89	301	3048
90	304	3044
91	307	3036
92	310	3030
93	313	3024
94	316	3018
95	320	3015
96	323	3007
97	326	3001
98	329	2995
99	332	2988
100	335	2984
101	338	2979
102	341	2974
103	344	2969
104	347	2963
105	350	2957
106	353	2952
107	356	2946
108	360	2942
109	363	2937
110	366	2933
111	369	2928
112	372	2922
113	375	2916
114	378	2911
115	381	2908
116	384	2903
117	387	2896
118	390	2891
119	393	2886
120	396	2882
121	399	2876
122	402	2870
123	405	2867
124	408	2861
125	411	2856
126	414	2852
127	417	2847
128	421	2844
129	424	2839
130	427	2833
131	430	2828
132	433	2823
133	436	2818
134	439	2813
135	442	2808
136	445	2805
137	448	2800
138	451	2794
139	454	2789
140	457	2785
141	460	2784
142	463	2779
143	467	2776
144	470	2771
145	473	2767
146	476	2762
147	479	2758
148	482	2753
149	484	2747
150	487	2743
151	491	2740
152	494	2736
153	497	2735
154	500	2730
155	503	2726
156	506	2722
157	509	2717
158	512	2711
159	515	2706
160	518	2701
161	522	2702
162	525	2699
163	528	2696
164	532	2694
165	537	2702
166	543	2710
167	546	2707
168	549	2703
169	553	2701
170	556	2697
171	559	2695
172	563	2691
173	566	2687
174	569	2683
175	572	2679
176	575	2677
177	579	2674
178	582	2671
179	585	2667
180	589	2665
181	592	2662
182	595	2660
183	598	2656
184	602	2653
185	605	2649
186	608	2646
187	611	2643
188	615	2640
189	618	2637
190	622	2636
191	625	2633
192	629	2631
193	633	2629
194	636	2627
195	639	2624
196	643	2621
197	646	2618
198	650	2616
199	653	2613
200	656	2611
201	660	2609
202	663	2605
203	667	2602
204	670	2598
205	673	2594
206	676	2592
207	680	2589
208	683	2585
209	686	2581
210	689	2577
211	693	2576
212	696	2572
213	699	2570
214	702	2566
215	706	2562
216	709	2558
217	712	2554
218	715	2551
219	718	2547
220	721	2543
221	724	2539
222	727	2535
223	731	2533
224	734	2529
225	737	2525
226	740	2521
227	743	2517
228	747	2515
229	750	2512
230	753	2508
231	756	2504
232	759	2500
233	763	2500
234	766	2495
235	770	2493
236	773	2489
237	776	2485
